player_id,name,team,canonical_position,lineup_position,age,dob,height_cm,country,market_value_eur,appearances,starts,minutes,avg_rating,goals,assists,xg,xa,slug,totalShots,shotOffTarget,onTargetScoringAttempt,touches,totalPass,accuratePass,keyPass,totalLongBalls,accurateLongBalls,totalCross,accurateCross,duelWon,duelLost,aerialWon,aerialLost,totalTackle,wonTackle,interceptionWon,totalClearance,ballRecovery,possessionLostCtrl,fouls,wasFouled,dribbleValueNormalized,totalProgression,progressiveBallCarriesCount,saves,goalsPrevented,goals_p90,xg_p90,xa_p90,shots_p90,key_passes_p90,prog_carries_p90,tackles_p90,interceptions_p90,recoveries_p90,role,ga_total,xga_total,mv_millions
926007,Filip Majchrowicz,Radomiak Radom,G,G,26,2000-02-09,194.0,Poland,635000.0,34,34,3060.0,6.891176470588236,0.0,1.0,0.0,0.04745387,filip-majchrowicz,0,0.0,0.0,1127.0,813.0,550.0,1.0,408.0,150.0,0.0,0.0,17.0,4.0,11.0,1.0,0.0,0.0,1.0,53.0,227.0,269.0,1.0,9.0,0.19,78.22512773564638,0.0,97.0,-2.8035,0.0,0.0,0.001,0.0,0.029,0.0,0.0,0.029,6.676,GK,1.0,0.04745387,0.635
1033201,Xavier Dziekoński,MKS Korona Kielce,G,G,22,2003-10-06,188.0,Poland,2200000.0,34,34,3060.0,7.114705882352941,0.0,0.0,0.0,0.13959337,xavier-dziekonski,0,0.0,0.0,1505.0,1164.0,666.0,1.0,705.0,221.0,0.0,0.0,26.0,3.0,15.0,1.0,0.0,0.0,1.0,32.0,302.0,508.0,1.0,16.0,0.5,487.6994927483115,1.0,117.0,6.9834,0.0,0.0,0.004,0.0,0.029,0.029,0.0,0.029,8.882,GK,0.0,0.13959337,2.2
316216,Bartosz Nowak,GKS Katowice,F,F,32,1993-08-25,180.0,Poland,360000.0,34,34,3006.0,7.293679308050565,9.0,12.0,7.3726,10.16174326,bartosz-nowak,81,20.0,38.0,1644.0,939.0,682.0,90.0,123.0,65.0,236.0,62.0,77.0,112.0,4.0,9.0,21.0,14.0,21.0,10.0,121.0,614.0,11.0,21.0,6.45,990.4158482303088,36.0,0.0,0.0,0.269,0.221,0.304,2.425,2.695,1.078,0.629,0.629,3.623,FWD,21.0,17.53434326,0.36
73980,Marcin Kamiński,Wisła Płock,D,D,34,1992-01-15,191.0,Poland,285000.0,34,34,3004.0,6.804161118508655,3.0,0.0,1.9405,0.61461825,marcin-kaminski,22,10.0,8.0,1988.0,1654.0,1500.0,8.0,174.0,90.0,4.0,3.0,79.0,80.0,57.0,65.0,16.0,12.0,19.0,172.0,92.0,170.0,7.0,3.0,2.97,1561.8819553789028,15.0,0.0,0.0,0.09,0.058,0.018,0.659,0.24,0.449,0.479,0.569,2.756,DEF,3.0,2.55511825,0.285
886909,Bartosz Mrozek,Lech Poznań,G,G,26,2000-02-23,191.0,Poland,2800000.0,33,33,2970.0,6.963636363636364,0.0,0.0,0.0,0.02393174,bartosz-mrozek,0,0.0,0.0,1241.0,920.0,739.0,0.0,281.0,108.0,0.0,0.0,19.0,1.0,10.0,0.0,1.0,1.0,1.0,38.0,268.0,185.0,1.0,8.0,-0.33,223.50393709339727,0.0,89.0,-4.708,0.0,0.0,0.001,0.0,0.0,0.0,0.03,0.03,8.121,GK,0.0,0.02393174,2.8
72255,Rafał Leszczyński,Wisła Płock,G,G,34,1992-04-26,185.0,Poland,240000.0,33,33,2970.0,7.157575757575757,0.0,0.0,0.0,0.2282141999999999,rafa-leszczynski,0,0.0,0.0,1569.0,1198.0,792.0,3.0,645.0,245.0,0.0,0.0,17.0,4.0,8.0,1.0,1.0,0.0,0.0,31.0,292.0,427.0,0.0,9.0,0.25,656.3710749974031,0.0,112.0,6.4896,0.0,0.0,0.007,0.0,0.091,0.0,0.03,0.0,8.848,GK,0.0,0.2282141999999999,0.24
198796,Arkadiusz Jędrych,GKS Katowice,D,D,34,1992-05-27,187.0,Poland,210000.0,33,33,2970.0,6.957575757575758,6.0,0.0,4.7704,0.70559851,arkadiusz-jedrych,30,12.0,14.0,2111.0,1641.0,1343.0,9.0,308.0,124.0,3.0,0.0,150.0,82.0,103.0,52.0,29.0,18.0,19.0,256.0,104.0,321.0,19.0,15.0,1.85,413.4090008457843,4.0,0.0,0.0,0.182,0.145,0.021,0.909,0.273,0.121,0.879,0.576,3.152,DEF,6.0,5.47599851,0.21
181613,Marcus Haglind Sangre,Wisła Płock,D,D,31,1995-02-04,190.0,Sweden,440000.0,33,33,2970.0,6.633333333333334,0.0,2.0,1.1876,1.48575926,marcus-haglind-sangre,17,7.0,4.0,1945.0,1303.0,1101.0,18.0,150.0,60.0,31.0,6.0,115.0,124.0,40.0,47.0,53.0,34.0,14.0,135.0,111.0,296.0,30.0,17.0,1.18,754.4106128869361,5.0,0.0,0.0,0.0,0.036,0.045,0.515,0.545,0.152,1.606,0.424,3.364,DEF,2.0,2.67335926,0.44
337989,Michał Marcjanik,MZKS Arka Gdynia,D,D,31,1994-12-15,187.0,Poland,310000.0,33,33,2944.0,6.592255434782608,2.0,0.0,2.3718,0.55990714,micha-marcjanik,17,7.0,4.0,1898.0,1423.0,1180.0,6.0,195.0,64.0,10.0,0.0,119.0,143.0,84.0,100.0,24.0,9.0,30.0,209.0,85.0,285.0,36.0,8.0,2.34,308.73030002954954,3.0,0.0,0.0,0.061,0.073,0.017,0.52,0.183,0.092,0.734,0.917,2.599,DEF,2.0,2.93170714,0.31
1390683,Marcel Łubik,Górnik Zabrze,G,G,22,2004-05-19,190.0,Poland,1400000.0,34,33,2937.0,6.752093973442289,0.0,0.0,0.0,0.08376819,marcel-lubik,0,0.0,0.0,1193.0,969.0,559.0,2.0,617.0,213.0,0.0,0.0,19.0,4.0,13.0,3.0,0.0,0.0,0.0,25.0,224.0,416.0,0.0,6.0,-0.51,98.83775154843528,0.0,62.0,3.0245,0.0,0.0,0.003,0.0,0.061,0.0,0.0,0.0,6.864,GK,0.0,0.08376819,1.4
